agent_name,evaluation,curriculum_name,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
dqn,0,baseline,-0.0003079507278835387,0.99933818663137,4.833218389437829,-9.2,7.166589146867566,-46.0,0.0
dqn,1,baseline,-0.00125979843225084,0.9995982322217758,6.06630035524124,-23.6,14.934523762075576,-118.0,0.0
dqn,2,baseline,-0.0014837625979843224,1.0,8.522910301065007,-9.0,10.825894882179487,-45.0,0.0
dqn,3,baseline,-0.0009518477043673013,1.0,10.64706532336493,-7.4,7.605261336732617,-37.0,0.0
dqn,4,baseline,-0.0013157894736842105,0.9940828402366864,6.374950980203691,-9.2,6.144916598294887,-46.0,0.0
dqn,5,baseline,-0.0008678611422172453,1.0,8.541662601625049,-8.8,9.410632284814872,-44.0,0.0
dqn,6,baseline,-0.0009518477043673013,1.0,8.772684879784524,-10.0,16.260381299342274,-50.0,0.0
dqn,7,baseline,-0.0011478163493840985,1.0,10.419213022104884,-10.8,11.232096865679177,-54.0,0.0
dqn,8,baseline,-0.0005599104143337066,1.0,7.402702209328699,0.0,2.6832815729997477,0.0,0.0
dqn,9,baseline,-0.0003919372900335947,1.0,9.558242516278817,0.8,4.664761515876241,4.0,0.0
dqn,10,baseline,-0.0009238521836506159,1.0,7.116178749862878,-7.0,5.513619500836088,-35.0,0.0
dqn,11,baseline,-0.001707726763717805,1.0,9.744742172063868,-7.0,5.138093031466052,-35.0,0.0
dqn,12,baseline,-0.0009238521836506159,1.0,4.800000000000001,-12.8,7.782030583337487,-64.0,0.0
dqn,13,baseline,5.599104143337065e-05,1.0,7.031358332498779,-8.0,8.532291603080617,-40.0,0.0
dqn,14,baseline,-0.0005319148936170214,1.0,3.059411708155671,-5.6,4.586937976471886,-28.0,0.0
dqn,15,baseline,-0.0007278835386338186,1.0,6.852736679604726,-6.0,6.603029607687671,-30.0,0.0
dqn,16,baseline,-0.0007838745800671893,1.0,12.126005112979295,-13.8,7.934733769950949,-69.0,0.0
dqn,17,baseline,-0.0012318029115341545,1.0,7.573638491504595,-7.8,9.96794863550169,-39.0,0.0
dqn,18,baseline,-0.0005319148936170213,1.0,6.337191807101943,-3.8,4.261455150532504,-19.0,0.0
dqn,19,baseline,-0.0003639417693169093,1.0,8.309031231136396,-11.8,10.796295661012623,-59.0,0.0
dqn,20,baseline,-0.001427771556550952,1.0,10.342146779078316,-11.8,10.127191120937729,-59.0,0.0
dqn,0,transfer-learning,-0.0023806189609298415,1.0,19.473058311420935,-26.6,8.685620300243386,-133.0,0.0
dqn,1,transfer-learning,-0.002996779162582271,1.0,7.2,-41.2,5.418486873657627,-206.0,0.0
dqn,2,transfer-learning,-0.002576309157098852,1.0,8.114185110040317,2.6,4.758150901348127,13.0,0.0
dqn,3,transfer-learning,-0.0003920470456454774,1.0,8.109253973085318,-0.6,4.923413450036469,-3.0,0.0
dqn,4,transfer-learning,8.401008120974515e-05,1.0,3.555277766926235,0.0,7.014271166700073,0.0,0.0
dqn,5,transfer-learning,0.00036399272014559707,1.0,6.770524351924303,0.2,4.06939798987516,1.0,0.0
dqn,6,transfer-learning,0.0005879882402351954,1.0,5.30659966456864,0.8,2.638181191654584,4.0,0.0
dqn,7,transfer-learning,0.000251994960100798,1.0,5.344155686354955,4.4,4.882622246293481,22.0,0.0
dqn,8,transfer-learning,0.0006159014557670774,1.0,7.989993742175272,0.8,5.528109984434102,4.0,0.0
dqn,9,transfer-learning,0.00041993281075028,1.0,2.3664319132398464,-0.4,7.310266752998826,-2.0,0.0
dqn,10,transfer-learning,-5.599104143337067e-05,1.0,6.974238309665077,0.6,6.974238309665077,3.0,0.0
dqn,11,transfer-learning,0.0004479283314669653,1.0,3.7629775444453557,1.0,6.099180272790763,5.0,0.0
dqn,12,transfer-learning,0.00016797312430011198,1.0,9.846826900072937,-0.8,5.114684741017769,-4.0,0.0
dqn,13,transfer-learning,0.00041993281075028,1.0,5.585696017507576,4.2,3.919183588453085,21.0,0.0
dqn,14,transfer-learning,0.000335946248600224,1.0,5.678027826631356,6.8,6.910861017268398,34.0,0.0
dqn,15,transfer-learning,0.000335946248600224,1.0,4.223742416388575,0.0,3.5777087639996634,0.0,0.0
dqn,16,transfer-learning,0.0010358342665173572,1.0,3.8781438859330635,8.8,9.94786409235671,44.0,0.0
dqn,17,transfer-learning,0.00019596864501679733,1.0,2.2449944320643644,-1.6,3.6110940170535577,-8.0,0.0
dqn,18,transfer-learning,-8.398656215005604e-05,0.9871794871794872,3.4409301068170506,2.4,10.051865498503252,12.0,0.0
dqn,19,transfer-learning,-0.00013997760358342665,1.0,3.847076812334269,-0.4,12.90891165048394,-2.0,0.0
dqn,20,transfer-learning,0.0002239641657334826,0.989247311827957,2.870540018881465,-0.4,3.8781438859330635,-2.0,0.0
dqn,0,teacher-learning,-0.000167973124300112,0.9993379675604105,6.794115100585212,-9.6,7.227724399837061,-48.0,0.0
dqn,1,teacher-learning,-0.001427771556550952,0.9987735077677842,8.133879763065101,-15.0,5.440588203494177,-75.0,0.0
dqn,2,teacher-learning,-0.0020716685330347145,0.998995983935743,12.496399481450647,-4.4,2.4979991993593593,-22.0,0.0
dqn,3,teacher-learning,-0.0013997760358342667,1.0,13.740451229854134,-11.8,3.1240998703626617,-59.0,0.0
dqn,4,teacher-learning,-0.0008958566629339306,0.9943181818181818,6.406246951218787,-5.8,6.368673331236262,-29.0,0.0
dqn,5,teacher-learning,-0.0015117581187010078,1.0,4.534313619501853,-6.0,6.663332499583072,-30.0,0.0
dqn,6,teacher-learning,-0.0015957446808510637,1.0,13.617635624439364,-5.0,6.81175454637056,-25.0,0.0
